 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
102,Volaris,Aerol?neas,H,M?xico," 446†621,00 "," 21†206,00 "," 80†663,00 "," 82†103,00 "," 755†709,00 "," 6†714,00 "," 149,00 "," 325,00 ",47
103,Grupo Condumex,Equipo el?ctrico,H,M?xico," 44†259,00 "," 5†408,00 "," 5†971,00 ", nd , nd , nd ," 109,00 ", nd ,6
104,Viakable,Equipo el?ctrico,H,M?xico," 442†203,00 ", nd , nd , nd , nd ," 3†748,00 "," 114,00 ", nd ,10
105,Valeo M?xico,Automotriz y autopartes,H,Francia," 433†469,00 ", nd , nd , nd , nd ," 11†500,00 "," 93,00 ", nd ,-12
106,Grupo ?ngeles Servicios de Salud,Servicios de salud,H,M?xico," 42†000,00 ", nd , nd , nd , nd ," 20†000,00 "," 105,00 ", nd ,-1
107,American Axle Manufacturing de M?xico,Automotriz y autopartes,H,Estados Unidos," 417†655,00 ", nd , nd ," 181†739,00 ", nd , nd ," 98,00 ", nd ,-9
108,Naturgy M?xico,Energ?a,H,Espa?a," 41†423,00 "," 5†007,00 "," 10†094,00 "," 61†966,00 "," 52†891,00 "," 778,00 "," 125,00 "," 552,00 ",17
109,Caminos y Puentes Federales (Capufe),Servicios p?blicos,H,M?xico," 403†752,00 ", nd , nd , nd , nd ," 4†500,00 "," 111,00 ", nd ,2
110,Bio PAPPEL,Papel y cart?n,H,M?xico," 401†081,00 ", nd , nd , nd , nd ," 12†479,00 "," 115,00 ", nd ,5
111,FEMSA Combustibles,Petr?leo y gas,H,M?xico," 39†922,00 ", nd ," 1†416,00 ", nd , nd , nd ," 107,00 ", nd ,-4
112,Vitro,Vidrio y envases,H,M?xico," 397†099,00 ","-21†624,00 ","-1†804,00 "," 519†642,00 "," 273†993,00 "," 14†598,00 "," 100,00 ","-88,00 ",-12
113,Jose Cuervo,Bebidas alcoh?licas y tabaco,H,M?xico," 394†194,00 "," 50†197,00 "," 71†212,00 "," 955†396,00 "," 370†962,00 "," 8†422,00 "," 104,00 "," 86,00 ",-9
114,Sanmina-SCI de M?xico,Electr?nica,H,Estados Unidos," 38†748,00 ", nd , nd , nd , nd ," 12†000,00 "," 86,00 ", nd ,-28
115,Qu?litas Controladora,Seguros y fianzas,H,M?xico," 38†224,00 "," 3†778,00 "," 2†491,00 "," 718†881,00 "," 515†094,00 "," 5†014,00 "," 103,00 "," 185,00 ",-12
116,IEnova M?xico,Energ?a,H,Estados Unidos," 37†327,00 "," 7†887,00 "," 17†486,00 "," 223†204,00 "," 108†945,00 "," 2†176,00 "," 126,00 "," 69,00 ",10
117,Grupo Palacio de Hierro,Comercio departamental,H,M?xico," 372†153,00 "," 10†403,00 "," 19†356,00 "," 442†927,00 "," 216†099,00 "," 10†162,00 "," 130,00 "," 46,00 ",13
118,Johnson Controls M?xico,Automotriz y autopartes,H,Estados Unidos," 37†000,00 ", nd , nd , nd , nd ," 11†000,00 "," 106,00 ", nd ,-12
119,Kenworth Mexicana,Armadora,H,Estados Unidos," 36†985,00 ", nd , nd , nd , nd ," 2†750,00 "," 108,00 ", nd ,-11
120,Televisa Contenidos,Medios de comunicaci?n,H,M?xico," 359†419,00 ", nd ," 13†779,00 ", nd , nd , nd ," 112,00 ", nd ,-8
121,BorgWarner M?xico,Automotriz y autopartes,H,Estados Unidos," 352†154,00 ", nd , nd ," 127†489,00 ", nd , nd ," 148,00 ", nd ,27
